state;action_reward;n_state
1050&4|693&4|1&4|654&5|151&4|210&2|99&5|481&5|553&2|1007&4|923&5|47&4;28&4|386&3|700&2|1074&2;1050&4|693&4|1&4|654&5|151&4|210&2|99&5|481&5|553&2|1007&4|923&5|47&4|28&4|386&3|700&2|1074&2
280&3|935&3|1295&3|847&4|270&3|937&4|148&3|475&3|100&4|15&3|260&2|288&3;702&4|1462&3|171&3|316&4;280&3|935&3|1295&3|847&4|270&3|937&4|148&3|475&3|100&4|15&3|260&2|288&3|702&4|1462&3|171&3|316&4
343&3|879&4|328&4|329&3|333&4|347&4|286&4|327&4|313&5|316&5|302&5|300&4;878&4|689&4|271&4|289&5;343&3|879&4|328&4|329&3|333&4|347&4|286&4|327&4|313&5|316&5|302&5|300&4|878&4|689&4|271&4|289&5
772&3|195&3|50&4|628&3|55&4|100&4|511&4|515&5|510&3|467&4|96&4|429&4;488&4|212&3|318&4|654&4;772&3|195&3|50&4|628&3|55&4|100&4|511&4|515&5|510&3|467&4|96&4|429&4|488&4|212&3|318&4|654&4
921&5|568&3|1046&3|172&5|472&1|1170&3|404&3|8&5|144&2|419&5|218&4|216&4;340&5|401&3|408&5|189&5;921&5|568&3|1046&3|172&5|472&1|1170&3|404&3|8&5|144&2|419&5|218&4|216&4|340&5|401&3|408&5|189&5
321&3|243&5|304&5|332&5|245&4|937&4|873&5|289&3|269&5|288&4|286&5|305&2;322&3|875&1|938&1|324&2;321&3|243&5|304&5|332&5|245&4|937&4|873&5|289&3|269&5|288&4|286&5|305&2|322&3|875&1|938&1|324&2
7&4|619&3|410&4|274&3|273&4|456&1|596&3|591&5|93&3|756&1|1059&3|475&5;79&5|169&4|1&4|210&4;7&4|619&3|410&4|274&3|273&4|456&1|596&3|591&5|93&3|756&1|1059&3|475&5|79&5|169&4|1&4|210&4
156&3|173&3|86&3|811&4|507&4|554&4|674&4|239&4|228&4|223&5|210&4|157&2;403&4|495&4|1037&1|389&3;156&3|173&3|86&3|811&4|507&4|554&4|674&4|239&4|228&4|223&5|210&4|157&2|403&4|495&4|1037&1|389&3
408&5|827&2|825&3|685&3|50&5|678&3|323&3|260&3|235&4|118&4|290&4|358&3;506&4|969&5|930&3|122&1;408&5|827&2|825&3|685&3|50&5|678&3|323&3|260&3|235&4|118&4|290&4|358&3|506&4|969&5|930&3|122&1
190&5|173&4|435&5|663&4|507&4|66&3|500&4|484&4|191&5|1039&4|181&5|313&4;367&3|659&5|580&4|202&4;190&5|173&4|435&5|663&4|507&4|66&3|500&4|484&4|191&5|1039&4|181&5|313&4|367&3|659&5|580&4|202&4
521&4|237&3|50&2|1148&4|271&1|644&4|403&3|647&1|234&4|129&4|405&3|12&5;493&5|197&5|504&4|525&4;521&4|237&3|50&2|1148&4|271&1|644&4|403&3|647&1|234&4|129&4|405&3|12&5|493&5|197&5|504&4|525&4
419&4|202&5|144&2|591&4|191&4|751&4|99&4|132&3|230&2|582&2|83&4|162&3;121&4|15&4|95&4|282&4;419&4|202&5|144&2|591&4|191&4|751&4|99&4|132&3|230&2|582&2|83&4|162&3|121&4|15&4|95&4|282&4
181&4|678&3|272&5|292&5|895&4|328&5|136&4|261&2|288&5|326&4|321&5|358&1;271&1|289&5|330&3|346&1;181&4|678&3|272&5|292&5|895&4|328&5|136&4|261&2|288&5|326&4|321&5|358&1|271&1|289&5|330&3|346&1
28&5|160&1|50&4|114&4|9&4|178&4|423&5|690&4|285&5|740&4|703&4|318&4;302&4|480&4|287&5|237&4;28&5|160&1|50&4|114&4|9&4|178&4|423&5|690&4|285&5|740&4|703&4|318&4|302&4|480&4|287&5|237&4
1012&1|151&4|748&5|845&4|405&5|235&5|129&4|118&5|515&4|147&5|257&2|1&4;472&4|597&2|476&4|760&1;1012&1|151&4|748&5|845&4|405&5|235&5|129&4|118&5|515&4|147&5|257&2|1&4|472&4|597&2|476&4|760&1
1009&3|1129&3|255&1|744&4|754&3|476&3|284&2|244&3|14&5|546&1|285&5|1061&2;286&5|475&4|740&4|221&4;1009&3|1129&3|255&1|744&4|754&3|476&3|284&2|244&3|14&5|546&1|285&5|1061&2|286&5|475&4|740&4|221&4
215&5|69&3|286&4|596&3|462&4|230&3|310&3|491&3|687&2|1025&3|9&3|199&5;263&3|455&3|117&4|257&5;215&5|69&3|286&4|596&3|462&4|230&3|310&3|491&3|687&2|1025&3|9&3|199&5|263&3|455&3|117&4|257&5
340&3|479&5|603&5|238&4|9&3|483&4|657&5|302&5|174&4|188&3|156&4|963&5;628&2|508&5|50&3|237&4;340&3|479&5|603&5|238&4|9&3|483&4|657&5|302&5|174&4|188&3|156&4|963&5|628&2|508&5|50&3|237&4
322&2|286&1|180&4|191&4|100&5|187&5|215&3|245&2|302&5|268&2|1500&5|179&5;87&4|210&4|181&5|403&4;322&2|286&1|180&4|191&4|100&5|187&5|215&3|245&2|302&5|268&2|1500&5|179&5|87&4|210&4|181&5|403&4
378&1|705&2|135&2|418&3|228&1|1444&1|509&3|141&3|53&3|158&2|142&2|64&3;1133&3|39&5|229&2|87&5;378&1|705&2|135&2|418&3|228&1|1444&1|509&3|141&3|53&3|158&2|142&2|64&3|1133&3|39&5|229&2|87&5
50&5|294&4|371&5|521&4|615&4|7&4|298&5|276&4|6&5|507&4|340&4|242&4;487&5|286&5|691&5|483&5;50&5|294&4|371&5|521&4|615&4|7&4|298&5|276&4|6&5|507&4|340&4|242&4|487&5|286&5|691&5|483&5
237&4|663&5|155&2|484&5|497&4|729&4|613&5|500&5|496&5|132&5|487&5|441&3;420&2|946&3|472&3|125&4;237&4|663&5|155&2|484&5|497&4|729&4|613&5|500&5|496&5|132&5|487&5|441&3|420&2|946&3|472&3|125&4
308&2|272&3|300&3|305&4|268&4|258&3|245&3|1296&3|302&4|311&3|340&4|310&2;689&2|312&1|323&2|321&2;308&2|272&3|300&3|305&4|268&4|258&3|245&3|1296&3|302&4|311&3|340&4|310&2|689&2|312&1|323&2|321&2
64&5|42&5|550&4|1067&4|566&4|56&5|22&4|239&5|750&5|591&4|175&5|4&4;1016&3|1244&3|150&4|691&4;64&5|42&5|550&4|1067&4|566&4|56&5|22&4|239&5|750&5|591&4|175&5|4&4|1016&3|1244&3|150&4|691&4
408&4|318&5|28&4|174&5|487&3|969&3|186&5|651&4|1&4|218&3|96&5|182&4;208&4|206&2|276&5|436&4;408&4|318&5|28&4|174&5|487&3|969&3|186&5|651&4|1&4|218&3|96&5|182&4|208&4|206&2|276&5|436&4
258&4|756&4|688&2|107&1|279&2|934&3|117&5|1&5|50&2|300&5|676&2|100&5;240&3|410&4|273&5|118&4;258&4|756&4|688&2|107&1|279&2|934&3|117&5|1&5|50&2|300&5|676&2|100&5|240&3|410&4|273&5|118&4
568&4|323&2|294&2|181&1|22&2|265&4|56&5|321&3|172&1|174&1|325&2|64&5;182&5|187&2|258&5|79&5;568&4|323&2|294&2|181&1|22&2|265&4|56&5|321&3|172&1|174&1|325&2|64&5|182&5|187&2|258&5|79&5
89&4|14&4|210&5|235&2|684&5|239&4|38&4|168&4|9&1|313&5|195&5|2&4;143&4|449&4|755&4|560&4;89&4|14&4|210&5|235&2|684&5|239&4|38&4|168&4|9&1|313&5|195&5|2&4|143&4|449&4|755&4|560&4
163&3|174&4|98&4|178&5|357&5|214&2|476&4|176&3|195&3|607&5|156&4|204&4;470&3|237&4|275&5|1136&4;163&3|174&4|98&4|178&5|357&5|214&2|476&4|176&3|195&3|607&5|156&4|204&4|470&3|237&4|275&5|1136&4
242&3|689&1|258&4|566&4|474&5|290&5|629&4|654&4|228&3|211&4|425&5|175&4;1527&3|315&5|288&4|313&4;242&3|689&1|258&4|566&4|474&5|290&5|629&4|654&4|228&3|211&4|425&5|175&4|1527&3|315&5|288&4|313&4
597&4|237&5|274&5|222&5|1054&4|280&5|298&5|409&4|411&4|121&5|127&5|742&5;934&3|476&5|1051&5|931&2;597&4|237&5|274&5|222&5|1054&4|280&5|298&5|409&4|411&4|121&5|127&5|742&5|934&3|476&5|1051&5|931&2
443&3|176&5|392&3|115&4|1185&1|1133&2|401&3|393&2|191&4|182&4|603&3|199&5;567&3|834&5|862&1|797&3;443&3|176&5|392&3|115&4|1185&1|1133&2|401&3|393&2|191&4|182&4|603&3|199&5|567&3|834&5|862&1|797&3
327&1|340&4|508&4|300&2|690&4|9&4|294&5|744&4|922&4|302&2|111&5|258&2;109&1|118&1|117&4|1009&4;327&1|340&4|508&4|300&2|690&4|9&4|294&5|744&4|922&4|302&2|111&5|258&2|109&1|118&1|117&4|1009&4
680&1|948&1|288&3|270&2|748&2|268&4|879&1|988&1|302&4|289&1|323&1|294&3;923&5|272&5|328&1|243&1;680&1|948&1|288&3|270&2|748&2|268&4|879&1|988&1|302&4|289&1|323&1|294&3|923&5|272&5|328&1|243&1
258&4|690&3|313&4|316&4|346&4|328&4|751&5|271&4|288&5|912&3|322&2|302&5;1105&1|245&4|887&4|312&2;258&4|690&3|313&4|316&4|346&4|328&4|751&5|271&4|288&5|912&3|322&2|302&5|1105&1|245&4|887&4|312&2
327&5|651&5|299&5|178&5|2&3|214&5|603&5|98&5|179&5|194&5|89&4|182&5;23&5|527&3|64&5|451&4;327&5|651&5|299&5|178&5|2&3|214&5|603&5|98&5|179&5|194&5|89&4|182&5|23&5|527&3|64&5|451&4
273&4|151&4|25&4|871&3|1095&4|105&4|122&3|240&5|121&4|743&4|1&3|546&3;833&4|405&5|7&5|24&4;273&4|151&4|25&4|871&3|1095&4|105&4|122&3|240&5|121&4|743&4|1&3|546&3|833&4|405&5|7&5|24&4
144&1|589&5|670&3|101&3|148&3|505&4|476&4|582&4|962&4|168&3|122&3|12&4;651&3|772&4|431&3|157&3;144&1|589&5|670&3|101&3|148&3|505&4|476&4|582&4|962&4|168&3|122&3|12&4|651&3|772&4|431&3|157&3
98&4|157&2|496&4|89&5|520&3|56&3|679&2|655&3|168&3|654&3|204&3|505&3;195&4|156&4|153&3|179&5;98&4|157&2|496&4|89&5|520&3|56&3|679&2|655&3|168&3|654&3|204&3|505&3|195&4|156&4|153&3|179&5
